packets,RST sent,ACK sent,PURE ACK sent,unique bytes,data pkts,data bytes,rexmit pkts,rexmit bytes,out seq pkts,SYN count,FIN count,packets2,RST sent2,ACK sent2,PURE ACK sent2,unique bytes2,data pkts2,data bytes2,rexmit pkts2,rexmit bytes2,out seq pkts2,SYN count2,FIN count2,Completion time,C first payload,S first payload,C last payload,S last payload,C first ack,S first ack,C Internal,S Internal,C anonymized,S anonymized,Connection type,P2P type,HTTP type,Average rtt C2S,rtt min,rtt max,Stdev rtt,rtt count,ttl_min,ttl_max,Average rtt S2C,rtt min2,rtt max2,Stdev rtt2,rtt count2,ttl_min2,ttl_max2,P2P subtype,ED2K Data,ED2K Signaling,ED2K C2S,ED2K C2C,ED2K Chat,RFC1323 ws,RFC1323 ts,window scale,SACK req,SACK sent,MSS,max seg size,min seg size,win max,win min,win zero,cwin max,cwin min,initial cwin,rtx RTO,rtx FR,reordering,net dup,unknown,flow control,unnece rtx RTO,unnece rtx FR,SYN seqno,RFC1323 ws,RFC1323 ts,window scale,SACK req,SACK sent,MSS2,max seg size2,min seg size2,win max2,win min2,win zero2,cwin max2,cwin min2,initial cwin2,rtx RTO2,rtx FR2,reordering2,net dup2,unknown2,flow control2,unnece rtx RTO2,unnece rtx FR2,SYN seqno2,httpignore,httpignore2,httpignore3,httpignore4,httpignore5,httpignore6,httpignore7,httpignore8
4428,0,4427,2,34561744,4424,35776616,839,1214872,190,1,1,3512,0,3512,3510,0,0,0,0,0,0,1,1,4111.215,0.755,0,4100.15,0,0.204,0.745,1,1,0,0,0,0,0,0.300756,0.114,40.689,1.66964,1791,64,64,0.018499,0.006,0.031,0,2,64,64,0,0,0,0,0,0,1,1,7,1,0,1460,65160,880,14720,14600,0,347520,1448,0,23,26,26,0,596,0,2,356,0,1,1,7,1,504,1460,0,0,1413248,14480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,312,0,0,0,0,0
17,0,16,9,452,6,452,0,0,0,1,1,17,0,17,5,2944,10,2944,0,0,0,1,1,13719.278,2.603,2.475,13716.24,13718.149,0.448,2.475,1,1,0,0,0,0,0,10.291871,0.157,40.878,18.432521,8,64,64,7.276934,0.008,39.453,15.865303,11,64,64,0,0,0,0,0,0,1,1,7,1,0,1460,164,16,20480,14600,0,164,16,164,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,1448,16,15616,14480,0,1480,16,64,0,0,0,0,0,0,0,0,0,0,0,6,9,0,0,0,0
44342,0,44341,2,394987992,44339,410551096,10748,15563104,3351,1,1,42703,0,42703,42701,0,0,0,0,0,0,1,1,31095.048,0.76,0,31091.702,0,0.56,1.158,1,1,0,0,0,0,0,0.314534,0.074,162.461,2.235361,13579,64,64,0.012999,0.012,0.014,0,2,64,64,0,0,0,0,0,0,1,1,7,1,0,1460,65160,24,14720,14600,0,1041112,24,13056,241,1017,198,0,6445,0,19,6179,0,1,1,7,1,8077,1460,0,0,2322688,14480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,586,0,0,0,0,0
17,0,16,9,452,6,452,0,0,0,1,1,17,0,17,5,2944,10,2944,0,0,0,1,1,12612.344,2.991,2.822,12608.795,12611.174,0.422,2.822,1,1,0,0,0,0,0,10.372995,0.391,40.106,18.34053,8,64,64,7.24857,0.005,39.229,15.805473,11,64,64,0,0,0,0,0,0,1,1,7,1,0,1460,164,16,20480,14600,0,164,16,164,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,1448,16,15616,14480,0,1480,16,64,0,0,0,0,0,0,0,0,0,0,0,6,9,0,0,0,0
11840,0,11839,2,79888064,11836,84045272,2871,4157208,159,1,1,8808,0,8808,8806,0,0,0,0,0,0,1,1,11192.161,0.506,0,11180.558,0,0.442,0.793,1,1,0,0,0,0,0,0.296598,0.076,40.082,1.247953,3260,64,64,0.023999,0.009,0.039,0,2,64,64,0,0,0,0,0,0,1,1,7,1,0,1460,65160,24,14720,14600,0,582096,24,13056,83,358,0,0,1405,0,15,1169,0,1,1,7,1,2135,1460,0,0,1847680,14480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,376,0,0,0,0,0
17,0,16,9,452,6,452,0,0,0,1,1,17,0,17,5,2944,10,2944,0,0,0,1,1,11943.665,2.621,2.529,11856.383,11942.599,0.376,2.529,1,1,0,0,0,0,0,10.318996,0.309,40.396,18.339417,8,64,64,7.353024,0.011,39.785,16.029514,11,64,64,0,0,0,0,0,0,1,1,7,1,0,1460,164,16,20480,14600,0,164,16,164,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,1448,16,15616,14480,0,1480,16,64,0,0,0,0,0,0,0,0,0,0,0,6,9,0,0,0,0
72685,0,72684,2,594492616,72682,617107480,15618,22614864,4343,1,1,60778,0,60778,60776,0,0,0,0,0,0,1,1,51506.84,2.188,0,51505.471,0,2.03,2.503,1,1,0,0,0,0,0,0.323697,0.074,94.692,1.849246,21090,64,64,0.019499,0.018,0.021,0,2,64,64,0,0,0,0,0,0,1,1,7,1,0,1460,65160,24,14720,14600,0,918032,24,24,480,1205,504,0,9472,0,40,8260,0,1,1,7,1,12806,1460,0,0,2507904,14480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1783,0,0,0,0,0
17,0,16,9,452,6,452,0,0,0,1,1,17,0,17,5,2944,10,2944,0,0,0,1,1,13703.044,2.604,2.456,13698.718,13701.935,0.179,2.456,1,1,0,0,0,0,0,11.541231,0.167,40.159,17.927486,8,64,64,7.361297,0.012,39.955,16.078466,11,64,64,0,0,0,0,0,0,1,1,7,1,0,1460,164,16,20480,14600,0,164,16,164,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,1448,16,15616,14480,0,1480,16,64,0,0,0,0,0,0,0,0,0,0,0,6,9,0,0,0,0
52947,0,52946,2,378606976,52944,395610840,11743,17003864,2683,1,1,43723,0,43723,43721,0,0,0,0,0,0,1,1,42026.095,2.549,0,42018.122,0,0.319,2.919,1,1,0,0,0,0,0,0.3193,0.075,84.153,1.684189,15883,64,64,0.018999,0.012,0.026,0,2,64,64,0,0,0,0,0,0,1,1,7,1,0,1460,65160,24,14720,14600,0,909344,24,13056,294,790,343,0,7062,0,30,5907,0,1,1,7,1,9578,1460,0,0,2018560,14480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1388,0,0,0,0,0
17,0,16,9,452,6,452,0,0,0,1,1,17,0,17,5,2944,10,2944,0,0,0,1,1,12414.894,2.798,2.725,12410.335,12413.531,0.437,2.725,1,1,0,0,0,0,0,10.356496,0.269,40.061,18.242961,8,64,64,7.212025,0.013,39.367,15.740561,11,64,64,0,0,0,0,0,0,1,1,7,1,0,1460,164,16,20480,14600,0,164,16,164,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,1448,16,15616,14480,0,1480,16,64,0,0,0,0,0,0,0,0,0,0,0,6,9,0,0,0,0
